date,min,max,median,q1,q3,stdev,count
2025-06-19T00:00:00.000Z,0.35,58.52,11.15,2.31,21.63,15.232,24
2025-06-20T00:00:00.000Z,0.35,32.18,3.57,0.65,12.35,9.735,24
2025-06-21T00:00:00.000Z,0.35,41.34,2.44,0.38,15.76,12.57,23
2025-06-22T00:00:00.000Z,0.35,49.4,15.68,1.24,30.56,15.287,24
2025-06-23T00:00:00.000Z,0.35,60.3,5.95,1.29,18.57,16.453,24
2025-06-24T00:00:00.000Z,0.35,36.97,8.23,2.21,16.79,11.866,24
2025-06-25T00:00:00.000Z,0.36,51.06,10.71,1.15,23.41,14.345,24
2025-06-26T00:00:00.000Z,0.35,28.96,3.82,0.37,11.19,8.148,24
2025-06-27T00:00:00.000Z,0.35,33.79,3.46,0.35,11.76,10.388,24
2025-06-28T00:00:00.000Z,0.35,46.81,4.54,0.46,19.28,13.65,24
2025-06-29T00:00:00.000Z,0.35,50.4,5.43,0.35,22.47,16.471,24
2025-06-30T00:00:00.000Z,0.35,47.83,4.63,0.52,16.48,12.413,23
2025-07-01T00:00:00.000Z,0.35,61.35,5.28,0.4,15,14.762,24
2025-07-02T00:00:00.000Z,0.35,34.13,8.39,4.23,19.12,9.475,18
2025-07-03T00:00:00.000Z,0.35,70.26,10.7,0.79,20.6,17.735,24
2025-07-04T00:00:00.000Z,0.35,48.42,13.91,4.88,30.96,15.076,24
2025-07-05T00:00:00.000Z,0.35,189.29,5.35,1.45,12.91,41.071,24
2025-07-06T00:00:00.000Z,0.35,27.31,6.82,0.35,16.8,8.682,24
2025-07-07T00:00:00.000Z,0.35,26.37,6.38,0.65,13.81,7.672,24
2025-07-08T00:00:00.000Z,0.35,40.56,9.61,0.94,24.31,12.169,24
2025-07-09T00:00:00.000Z,0.35,30.13,10.13,0.35,19.1,9.959,24
2025-07-10T00:00:00.000Z,0.35,61.39,10.88,1.64,16.66,15.233,24
2025-07-11T00:00:00.000Z,0.35,33.5,6.6,1,10.16,8.202,24
2025-07-12T00:00:00.000Z,0.35,26.6,6.21,0.51,12.59,7.519,24
2025-07-13T00:00:00.000Z,0.35,72.36,8.69,0.47,18.1,17.797,24
2025-07-14T00:00:00.000Z,0.35,41.82,10.57,1.69,22.04,12.036,24
2025-07-15T00:00:00.000Z,0.35,76.06,4.59,0.53,11.93,18.689,24
2025-07-16T00:00:00.000Z,0.35,56.02,9.03,2.85,23.05,16.66,21
2025-07-17T00:00:00.000Z,0.35,65.59,5.55,0.66,12.87,15.769,24
2025-07-18T00:00:00.000Z,0.35,41.07,8.8,0.74,22.21,13.365,24
2025-07-19T00:00:00.000Z,0.35,11.59,0.63,0.35,2.69,4.364,10
2025-07-20T00:00:00.000Z,0.35,43.11,11.43,0.83,22.88,13.093,21
2025-07-21T00:00:00.000Z,0.35,13.96,4.32,0.67,7.61,4.237,24
2025-07-22T00:00:00.000Z,0.35,1844.16,9.97,3.19,12.8,366.783,24
2025-07-23T00:00:00.000Z,0.36,52.97,13.85,3.23,20.58,14.485,24
2025-07-24T00:00:00.000Z,0.39,32.93,6.54,1.01,18.55,10.693,23
